Train No,Station Code,Halt
107,SWV,120
107,THVM,2
107,KRMI,2
107,MAO,710
108,MAO,120
108,KRMI,2
108,THVM,2
108,SWV,95
128,MAO,120
128,KRMI,2
128,THVM,2
128,SWV,2
128,KUDL,2
128,SNDD,2
128,KKW,2
128,VBW,2
128,RAJP,2
128,RN,5
128,SGR,2
128,CHI,2
128,KHED,2
128,MNI,2
128,ROHA,5
128,PNVL,5
128,KJT,5
128,LNL,3
128,PUNE,15
128,STR,3
128,MRJ,10
128,KOP,0
290,DSJ,120
290,GADJ,240
290,JP,235
290,DPA,120
290,SWM,235
290,COR,115
290,UDZ,180
290,JSM,225
290,MDB,230
290,FL,55
290,BTE,225
290,IDH,30
290,AGC,30
290,DSJ,120
401,AWB,120
401,MMR,10
401,BSL,10
401,KNW,5
401,JHS,10
401,CNB,5
401,LKO,5
401,BBK,5
401,AY,5
401,SHG,5
401,JNU,5
401,BSB,0
421,LKO,120
421,FGR,27
421,KSJ,30
421,BE,5
421,SVDK,0
422,SVDK,120
422,BE,5
422,KSJ,30
422,FGR,5
422,LKO,0
477,SSA,120
477,HSR,30
477,BNW,25
477,ROK,2
477,DSJ,2
477,CNB,5
477,MGS,10
477,MGS,10
477,CNB,5
477,DSJ,2
477,ROK,2
477,BNW,30
477,HSR,30
477,SSA,120
502,RJPB,120
502,MGS,10
502,CNB,5
502,DSJ,25
502,SNP,5
502,PNP,5
502,KUN,5
502,KKDE,5
502,UMB,0
504,PNBE,120
504,MGS,10
504,BTI,0
506,PNBE,120
506,MGS,5
506,PTA,0
557,URK,120
557,PJP,0
604,PNBE,120
604,MGS,10
604,ASR,0
1011,CSMT,120
1011,DR,3
1011,TNA,3
1011,KYN,3
1011,IGP,5
1011,NK,3
1011,MMR,3
1011,JL,2
1011,BSL,10
1011,MKU,2
1011,SEG,2
1011,AK,3
1011,MZR,3
1011,BD,3
1011,DMN,1
1011,PLO,1
1011,WR,3
1011,NGP,0
1037,LTT,120
1037,TNA,2
1037,PNVL,3
1037,ROHA,7
1037,KHED,2
1037,CHI,10
1037,RN,5
1037,KKW,2
1037,KUDL,2
1037,SWV,0
1038,SWV,120
1038,KUDL,2
1038,KKW,2
1038,RN,5
1038,CHI,10
1038,KHED,2
1038,ROHA,5
1038,PNVL,3
1038,TNA,5
1038,LTT,0
1045,LTT,120
1045,TNA,2
1045,PNVL,3
1045,ROHA,7
1045,KHED,2
1045,CHI,10
1045,RN,5
1045,KKW,2
1045,KUDL,2
1045,THVM,2
1045,KRMI,0
1119,AJNI,120
1119,WR,3
1119,PLO,3
1119,DMN,1
1119,BD,3
1119,AK,3
1119,SEG,2
1119,MKU,2
1119,BSL,10
1119,JL,2
1119,CSN,2
1119,MMR,2
1119,NK,2
1119,IGP,15
1119,KYN,2
1119,PNVL,5
1119,ROHA,5
1119,KHED,2
1119,CHI,2
1119,RN,5
1119,KKW,2
1119,KUDL,2
1119,THVM,2
1119,KRMI,0
1120,KRMI,120
1120,THVM,2
1120,KUDL,2
1120,KKW,2
1120,RN,5
1120,CHI,2
1120,KHED,2
1120,ROHA,5
1120,PNVL,5
1120,KYN,2
1120,IGP,15
1120,NK,2
1120,MMR,2
1120,CSN,2
1120,JL,2
1120,BSL,10
1120,MKU,2
1120,SEG,2
1120,AK,3
1120,BD,3
1120,DMN,1
1120,PLO,3
1120,WR,3
1120,AJNI,0
1122,KRMI,120
1122,THVM,2
1122,SWV,2
1122,KUDL,2
1122,KKW,2
1122,RN,5
1122,SGR,2
1122,CHI,2
1122,KHED,2
1122,ROHA,5
1122,PNVL,5
1122,TNA,2
1122,DR,3
1122,CSMT,0
1196,NGP,120
1196,WR,3
1196,PLO,3
1196,DMN,1
1196,BD,3
1196,AK,3
1196,SEG,2
1196,MKU,2
1196,BSL,10
1196,JL,2
1196,CSN,2
1196,MMR,2
1196,NK,2
1196,IGP,15
1196,KYN,2
1196,PNVL,5
1196,ROHA,5
1196,KHED,2
1196,CHI,2
1196,SGR,2
