,Train No,Station Code,SEQ
0,107,SWV,1
1,107,THVM,2
2,107,KRMI,3
3,107,MAO,4
4,108,MAO,1
5,108,KRMI,2
6,108,THVM,3
7,108,SWV,4
8,128,MAO,1
9,128,KRMI,2
10,128,THVM,3
11,128,SWV,4
12,128,KUDL,5
13,128,SNDD,6
14,128,KKW,7
15,128,VBW,8
16,128,RAJP,9
17,128,RN,10
18,128,SGR,11
19,128,CHI,12
20,128,KHED,13
21,128,MNI,14
22,128,ROHA,15
23,128,PNVL,16
24,128,KJT,17
25,128,LNL,18
26,128,PUNE,19
27,128,STR,20
28,128,MRJ,21
29,128,KOP,22
30,290,DSJ,1
31,290,GADJ,2
32,290,JP,3
33,290,DPA,4
34,290,SWM,5
35,290,COR,6
36,290,UDZ,7
37,290,JSM,8
38,290,MDB,9
39,290,FL,10
40,290,BTE,11
41,290,IDH,12
42,290,AGC,13
43,290,DSJ,14
44,401,AWB,1
45,401,MMR,2
46,401,BSL,3
47,401,KNW,4
48,401,JHS,5
49,401,CNB,6
50,401,LKO,7
51,401,BBK,8
52,401,AY,9
53,401,SHG,10
54,401,JNU,11
55,401,BSB,12
56,421,LKO,1
57,421,FGR,2
58,421,KSJ,3
59,421,BE,4
60,421,SVDK,5
61,422,SVDK,1
62,422,BE,2
63,422,KSJ,3
64,422,FGR,4
65,422,LKO,5
66,477,SSA,1
67,477,HSR,2
68,477,BNW,3
69,477,ROK,4
70,477,DSJ,5
71,477,CNB,6
72,477,MGS,7
73,477,MGS,8
74,477,CNB,9
75,477,DSJ,10
76,477,ROK,11
77,477,BNW,12
78,477,HSR,13
79,477,SSA,14
80,502,RJPB,1
81,502,MGS,2
82,502,CNB,3
83,502,DSJ,4
84,502,SNP,5
85,502,PNP,6
86,502,KUN,7
87,502,KKDE,8
88,502,UMB,9
89,504,PNBE,1
90,504,MGS,2
91,504,BTI,3
92,506,PNBE,1
93,506,MGS,2
94,506,PTA,3
95,557,URK,1
96,557,PJP,2
97,604,PNBE,1
98,604,MGS,2
99,604,ASR,3
100,1011,CSMT,1
101,1011,DR,2
102,1011,TNA,3
103,1011,KYN,4
104,1011,IGP,5
105,1011,NK,6
106,1011,MMR,7
107,1011,JL,8
108,1011,BSL,9
109,1011,MKU,10
110,1011,SEG,11
111,1011,AK,12
112,1011,MZR,13
113,1011,BD,14
114,1011,DMN,15
115,1011,PLO,16
116,1011,WR,17
117,1011,NGP,18
118,1037,LTT,1
119,1037,TNA,2
120,1037,PNVL,3
121,1037,ROHA,4
122,1037,KHED,5
123,1037,CHI,6
124,1037,RN,7
125,1037,KKW,8
126,1037,KUDL,9
127,1037,SWV,10
128,1038,SWV,1
129,1038,KUDL,2
130,1038,KKW,3
131,1038,RN,4
132,1038,CHI,5
133,1038,KHED,6
134,1038,ROHA,7
135,1038,PNVL,8
136,1038,TNA,9
137,1038,LTT,10
138,1045,LTT,1
139,1045,TNA,2
140,1045,PNVL,3
141,1045,ROHA,4
142,1045,KHED,5
143,1045,CHI,6
144,1045,RN,7
145,1045,KKW,8
146,1045,KUDL,9
147,1045,THVM,10
148,1045,KRMI,11
149,1119,AJNI,1
150,1119,WR,2
151,1119,PLO,3
152,1119,DMN,4
153,1119,BD,5
154,1119,AK,6
155,1119,SEG,7
156,1119,MKU,8
157,1119,BSL,9
158,1119,JL,10
159,1119,CSN,11
160,1119,MMR,12
161,1119,NK,13
162,1119,IGP,14
163,1119,KYN,15
164,1119,PNVL,16
165,1119,ROHA,17
166,1119,KHED,18
167,1119,CHI,19
168,1119,RN,20
169,1119,KKW,21
170,1119,KUDL,22
171,1119,THVM,23
172,1119,KRMI,24
173,1120,KRMI,1
174,1120,THVM,2
175,1120,KUDL,3
176,1120,KKW,4
177,1120,RN,5
178,1120,CHI,6
179,1120,KHED,7
180,1120,ROHA,8
181,1120,PNVL,9
182,1120,KYN,10
183,1120,IGP,11
184,1120,NK,12
185,1120,MMR,13
186,1120,CSN,14
187,1120,JL,15
188,1120,BSL,16
189,1120,MKU,17
190,1120,SEG,18
191,1120,AK,19
192,1120,BD,20
193,1120,DMN,21
194,1120,PLO,22
195,1120,WR,23
